LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	value	Flag Codes
AUS	WAGEGAP	EMPLOYEE	PC	A	1995	14.47811448	
AUS	WAGEGAP	EMPLOYEE	PC	A	1997	15.25423729	
AUS	WAGEGAP	EMPLOYEE	PC	A	1998	13.24200913	
AUS	WAGEGAP	EMPLOYEE	PC	A	1999	14.28571429	
AUS	WAGEGAP	EMPLOYEE	PC	A	2000	17.2	
AUS	WAGEGAP	EMPLOYEE	PC	A	2001	14.34210526	
AUS	WAGEGAP	EMPLOYEE	PC	A	2002	15	
AUS	WAGEGAP	EMPLOYEE	PC	A	2003	13.04347826	
AUS	WAGEGAP	EMPLOYEE	PC	A	2004	14.35294118	
AUS	WAGEGAP	EMPLOYEE	PC	A	2005	15.77777778	
AUS	WAGEGAP	EMPLOYEE	PC	A	2006	16.66666667	
AUS	WAGEGAP	EMPLOYEE	PC	A	2007	15.4	
AUS	WAGEGAP	EMPLOYEE	PC	A	2008	11.93737769	
AUS	WAGEGAP	EMPLOYEE	PC	A	2009	16.36363636	
AUS	WAGEGAP	EMPLOYEE	PC	A	2010	14.04293381	
AUS	WAGEGAP	EMPLOYEE	PC	A	2011	15.96638656	
AUS	WAGEGAP	EMPLOYEE	PC	A	2012	13.75	
AUS	WAGEGAP	EMPLOYEE	PC	A	2013	18	
AUS	WAGEGAP	EMPLOYEE	PC	A	2014	15.77335375	
AUS	WAGEGAP	EMPLOYEE	PC	A	2015	13.30769231	
AUS	WAGEGAP	EMPLOYEE	PC	A	2016	13.72843211	
AUS	WAGEGAP	EMPLOYEE	PC	A	2017	13.00094822	
AUS	WAGEGAP	EMPLOYEE	PC	A	2018	13.44856744	
AUS	WAGEGAP	EMPLOYEE	PC	A	2019	15.31165312	
AUS	WAGEGAP	EMPLOYEE	PC	A	2020	10.53333333	
AUS	WAGEGAP	EMPLOYEE	PC	A	2021	10.47024531	
AUT	WAGEGAP	EMPLOYEE	PC	A	2000	23.14194309	
AUT	WAGEGAP	EMPLOYEE	PC	A	2001	22.80181782	
AUT	WAGEGAP	EMPLOYEE	PC	A	2002	24.48922362	
AUT	WAGEGAP	EMPLOYEE	PC	A	2003	21.13692198	
AUT	WAGEGAP	EMPLOYEE	PC	A	2004	22.43079216	
AUT	WAGEGAP	EMPLOYEE	PC	A	2005	22.03208575	
AUT	WAGEGAP	EMPLOYEE	PC	A	2006	21.85513043	
AUT	WAGEGAP	EMPLOYEE	PC	A	2007	21.63427637	
AUT	WAGEGAP	EMPLOYEE	PC	A	2008	20.91732027	
AUT	WAGEGAP	EMPLOYEE	PC	A	2009	19.35596592	
AUT	WAGEGAP	EMPLOYEE	PC	A	2010	19.18886268	
AUT	WAGEGAP	EMPLOYEE	PC	A	2011	18.55055412	
AUT	WAGEGAP	EMPLOYEE	PC	A	2012	18.18505684	
AUT	WAGEGAP	EMPLOYEE	PC	A	2013	18.05321141	
AUT	WAGEGAP	EMPLOYEE	PC	A	2014	17.72888425	
AUT	WAGEGAP	EMPLOYEE	PC	A	2015	17.04325299	
AUT	WAGEGAP	EMPLOYEE	PC	A	2016	15.67089964	
AUT	WAGEGAP	EMPLOYEE	PC	A	2017	15.38215397	
AUT	WAGEGAP	EMPLOYEE	PC	A	2018	14.87669089	
AUT	WAGEGAP	EMPLOYEE	PC	A	2019	14.01174081	
AUT	WAGEGAP	EMPLOYEE	PC	A	2020	12.38153967	
AUT	WAGEGAP	EMPLOYEE	PC	A	2021	12.15720849	
BEL	WAGEGAP	EMPLOYEE	PC	A	1999	15.18298714	
BEL	WAGEGAP	EMPLOYEE	PC	A	2000	13.59923114	
BEL	WAGEGAP	EMPLOYEE	PC	A	2001	13.18681319	
BEL	WAGEGAP	EMPLOYEE	PC	A	2002	11.60471442	
BEL	WAGEGAP	EMPLOYEE	PC	A	2003	15.20518359	
BEL	WAGEGAP	EMPLOYEE	PC	A	2004	11.83206107	
BEL	WAGEGAP	EMPLOYEE	PC	A	2005	11.51109251	
BEL	WAGEGAP	EMPLOYEE	PC	A	2006	10.25326797	
BEL	WAGEGAP	EMPLOYEE	PC	A	2007	9.873617694	
BEL	WAGEGAP	EMPLOYEE	PC	A	2008	8.915753683	
BEL	WAGEGAP	EMPLOYEE	PC	A	2009	7.480461481	
BEL	WAGEGAP	EMPLOYEE	PC	A	2010	7.04379562	
BEL	WAGEGAP	EMPLOYEE	PC	A	2011	5.838108883	
BEL	WAGEGAP	EMPLOYEE	PC	A	2012	6.411149826	
BEL	WAGEGAP	EMPLOYEE	PC	A	2013	5.912863071	
BEL	WAGEGAP	EMPLOYEE	PC	A	2014	3.298900367	
BEL	WAGEGAP	EMPLOYEE	PC	A	2015	4.672	
BEL	WAGEGAP	EMPLOYEE	PC	A	2016	3.701298701	
BEL	WAGEGAP	EMPLOYEE	PC	A	2017	4.190296156	
BEL	WAGEGAP	EMPLOYEE	PC	A	2018	3.408756979	
BEL	WAGEGAP	EMPLOYEE	PC	A	2019	3.798185941	
BEL	WAGEGAP	EMPLOYEE	PC	A	2020	1.173184358	
CAN	WAGEGAP	EMPLOYEE	PC	A	1997	24.70588235	
CAN	WAGEGAP	EMPLOYEE	PC	A	1998	24.85549133	
CAN	WAGEGAP	EMPLOYEE	PC	A	1999	24	
CAN	WAGEGAP	EMPLOYEE	PC	A	2000	23.875	
CAN	WAGEGAP	EMPLOYEE	PC	A	2001	24.32457913	
CAN	WAGEGAP	EMPLOYEE	PC	A	2002	24.0131579	
CAN	WAGEGAP	EMPLOYEE	PC	A	2003	22.50234034	
CAN	WAGEGAP	EMPLOYEE	PC	A	2004	22.71794872	
CAN	WAGEGAP	EMPLOYEE	PC	A	2005	21.25	
CAN	WAGEGAP	EMPLOYEE	PC	A	2006	21.12332112	
CAN	WAGEGAP	EMPLOYEE	PC	A	2007	20.80823529	
CAN	WAGEGAP	EMPLOYEE	PC	A	2008	20.45454546	
CAN	WAGEGAP	EMPLOYEE	PC	A	2009	20.13186813	
CAN	WAGEGAP	EMPLOYEE	PC	A	2010	18.97746967	
CAN	WAGEGAP	EMPLOYEE	PC	A	2011	19.17553192	
CAN	WAGEGAP	EMPLOYEE	PC	A	2012	19.51123128	
CAN	WAGEGAP	EMPLOYEE	PC	A	2013	19.30323498	
CAN	WAGEGAP	EMPLOYEE	PC	A	2014	19.229	
CAN	WAGEGAP	EMPLOYEE	PC	A	2015	18.62745098	
CAN	WAGEGAP	EMPLOYEE	PC	A	2016	18.22115385	
CAN	WAGEGAP	EMPLOYEE	PC	A	2017	18.17322239	
CAN	WAGEGAP	EMPLOYEE	PC	A	2018	18.51851852	
CAN	WAGEGAP	EMPLOYEE	PC	A	2019	17.60714286	
CAN	WAGEGAP	EMPLOYEE	PC	A	2020	16.11253197	
CAN	WAGEGAP	EMPLOYEE	PC	A	2021	16.66666667	
CZE	WAGEGAP	EMPLOYEE	PC	A	1996	18.28985624	
CZE	WAGEGAP	EMPLOYEE	PC	A	1997	18.42904374	
CZE	WAGEGAP	EMPLOYEE	PC	A	1999	19.03031426	
CZE	WAGEGAP	EMPLOYEE	PC	A	2001	16.87662165	
CZE	WAGEGAP	EMPLOYEE	PC	A	2002	15.95069783	
CZE	WAGEGAP	EMPLOYEE	PC	A	2003	15.63749732	
CZE	WAGEGAP	EMPLOYEE	PC	A	2004	16.14681968	
CZE	WAGEGAP	EMPLOYEE	PC	A	2005	15.93892946	
CZE	WAGEGAP	EMPLOYEE	PC	A	2006	15.35176621	
CZE	WAGEGAP	EMPLOYEE	PC	A	2007	16.93153188	
CZE	WAGEGAP	EMPLOYEE	PC	A	2008	17.87301988	
CZE	WAGEGAP	EMPLOYEE	PC	A	2009	15.10501797	
CZE	WAGEGAP	EMPLOYEE	PC	A	2010	15.79850307	
CZE	WAGEGAP	EMPLOYEE	PC	A	2011	16.3296567	
CZE	WAGEGAP	EMPLOYEE	PC	A	2012	15.26297988	
CZE	WAGEGAP	EMPLOYEE	PC	A	2013	15.37883532	
CZE	WAGEGAP	EMPLOYEE	PC	A	2014	16.2545602	
CZE	WAGEGAP	EMPLOYEE	PC	A	2015	16.45515416	
CZE	WAGEGAP	EMPLOYEE	PC	A	2016	16.02343084	
CZE	WAGEGAP	EMPLOYEE	PC	A	2017	15.61401089	
CZE	WAGEGAP	EMPLOYEE	PC	A	2018	15.12741386	
CZE	WAGEGAP	EMPLOYEE	PC	A	2019	14.71433226	
CZE	WAGEGAP	EMPLOYEE	PC	A	2020	12.37286209	
CZE	WAGEGAP	EMPLOYEE	PC	A	2021	11.51874831	
DNK	WAGEGAP	EMPLOYEE	PC	A	2002	10.79707571	
DNK	WAGEGAP	EMPLOYEE	PC	A	2003	9.921804094	
DNK	WAGEGAP	EMPLOYEE	PC	A	2004	10.18220538	
DNK	WAGEGAP	EMPLOYEE	PC	A	2005	10.16733044	
DNK	WAGEGAP	EMPLOYEE	PC	A	2006	10.17206126	
DNK	WAGEGAP	EMPLOYEE	PC	A	2007	9.850297951	
DNK	WAGEGAP	EMPLOYEE	PC	A	2008	10.18354903	
DNK	WAGEGAP	EMPLOYEE	PC	A	2009	10.17200506	
DNK	WAGEGAP	EMPLOYEE	PC	A	2010	8.895098479	
DNK	WAGEGAP	EMPLOYEE	PC	A	2011	7.947197254	
DNK	WAGEGAP	EMPLOYEE	PC	A	2012	6.999844876	
DNK	WAGEGAP	EMPLOYEE	PC	A	2013	6.768911945	
DNK	WAGEGAP	EMPLOYEE	PC	A	2014	6.323865695	
